player_id,player,position,birth_date,league,minutes,matches,passes,passes_accurate,key_passes,assists,smart_passes,passes_into_penalty_area,progressive_passes,progressive_pass_distance,crosses,long_passes,shots,shots_on_target,goals,dribbles_won,dribbles_attempted,accelerations,touches_att_pen_area,tackles_won,tackles_attempted,interceptions,clearances,aerials_won,age,season,passes_pct,dribble_success_pct
20929,A. Gamberini,DF,1981-08-27,Serie A,1817.0,23.0,633.0,577.0,0.0,0.0,0.0,1.0,110.0,4809.000000000001,0.0,43.0,3.0,1.0,0.0,5.0,14.0,0.0,15.0,17.0,74.0,101.0,73.0,54.0,36,2017-18,91.2,35.7
70084,Alex Sandro,DF,1991-01-26,Serie A,2115.0,26.0,1447.0,1238.0,6.0,4.0,12.0,70.0,158.0,7024.500000000001,97.0,118.0,17.0,7.0,4.0,134.0,242.0,26.0,75.0,37.0,198.0,87.0,31.0,47.0,26,2017-18,85.6,55.4
20935,Rômulo,MF,1987-05-22,Serie A,3171.0,37.0,1349.0,1043.0,13.0,4.0,10.0,61.0,163.0,6637.050000000002,128.0,73.0,27.0,9.0,3.0,174.0,323.0,104.0,48.0,42.0,214.0,106.0,22.0,6.0,30,2017-18,77.3,53.9
20938,V. Behrami,MF,1985-04-19,Serie A,1408.0,20.0,478.0,412.0,0.0,0.0,1.0,8.0,54.0,2413.9500000000007,1.0,27.0,9.0,2.0,1.0,36.0,72.0,6.0,10.0,51.0,209.0,114.0,19.0,21.0,32,2017-18,86.2,50.0
20941,A. Ljajić,FW,1991-09-29,Serie A,2165.0,27.0,1114.0,943.0,13.0,3.0,18.0,81.0,116.0,5077.799999999999,26.0,39.0,63.0,22.0,6.0,112.0,210.0,30.0,99.0,10.0,51.0,43.0,8.0,0.0,26,2017-18,84.6,53.3
20943,R. Montolivo,MF,1985-01-18,Serie A,1106.0,18.0,674.0,577.0,2.0,1.0,5.0,24.0,97.0,4069.800000000003,11.0,64.0,12.0,2.0,1.0,27.0,54.0,4.0,9.0,15.0,72.0,74.0,13.0,9.0,32,2017-18,85.6,50.0
352722,Ľ. Tupta,FW,1998-03-27,Serie A,30.0,2.0,13.0,9.0,0.0,0.0,0.0,0.0,3.0,72.45,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,7.0,0.0,0.0,1.0,19,2017-18,69.2,0.0
20947,A. Cerci,FW,1987-07-23,Serie A,1646.0,24.0,412.0,301.0,8.0,1.0,13.0,38.0,39.0,1541.3999999999999,45.0,23.0,40.0,13.0,3.0,121.0,224.0,33.0,95.0,8.0,57.0,27.0,7.0,13.0,30,2017-18,73.1,54.0
20949,Ryder Matos,FW,1993-02-27,Serie A,1148.0,18.0,294.0,239.0,0.0,1.0,2.0,14.0,25.0,1010.0999999999998,22.0,6.0,16.0,4.0,0.0,101.0,224.0,25.0,46.0,17.0,64.0,22.0,9.0,7.0,24,2017-18,81.3,45.1
14812,I. Perišić,MF,1989-02-02,Serie A,3317.0,37.0,1512.0,1082.0,28.0,8.0,17.0,112.0,88.0,4331.250000000002,249.0,63.0,114.0,39.0,11.0,181.0,315.0,38.0,320.0,31.0,197.0,159.0,47.0,67.0,28,2017-18,71.6,57.5
256478,D. Cataldi,MF,1994-08-06,Serie A,2313.0,29.0,1260.0,1069.0,5.0,3.0,6.0,31.0,161.0,6744.150000000006,30.0,107.0,36.0,7.0,1.0,62.0,120.0,17.0,31.0,27.0,146.0,92.0,10.0,4.0,23,2017-18,84.8,51.7
20972,D. Di Gennaro,MF,1988-06-16,Serie A,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,29,2017-18,100.0,
272878,A. Nalini,FW,1990-06-20,Serie A,1643.0,23.0,488.0,335.0,7.0,2.0,5.0,36.0,42.0,1875.3000000000002,54.0,58.0,21.0,8.0,0.0,100.0,189.0,14.0,83.0,23.0,121.0,57.0,7.0,59.0,27,2017-18,68.6,52.9
209400,D. Berardi,FW,1994-08-01,Serie A,2340.0,31.0,848.0,601.0,18.0,0.0,17.0,58.0,98.0,3765.2999999999997,69.0,63.0,79.0,26.0,4.0,152.0,278.0,38.0,128.0,23.0,167.0,58.0,14.0,13.0,23,2017-18,70.9,54.7
14855,B. Höwedes,DF,1988-02-29,Serie A,247.0,3.0,208.0,193.0,0.0,0.0,0.0,4.0,31.0,1380.7499999999998,2.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,12.0,9.0,7.0,3.0,29,2017-18,92.8,
21001,E. Hysaj,DF,1994-02-20,Serie A,3133.0,35.0,2273.0,1976.0,8.0,1.0,10.0,37.0,214.0,10162.949999999995,67.0,102.0,11.0,2.0,0.0,67.0,165.0,24.0,28.0,54.0,234.0,173.0,32.0,42.0,23,2017-18,86.9,40.6
45579,Everton Luiz,MF,1988-05-24,Serie A,639.0,10.0,220.0,189.0,0.0,0.0,0.0,3.0,30.0,1079.3999999999999,1.0,21.0,1.0,0.0,0.0,24.0,43.0,6.0,2.0,13.0,78.0,26.0,6.0,3.0,29,2017-18,85.9,55.8
21004,V. Regini,DF,1990-09-09,Serie A,1069.0,14.0,592.0,521.0,2.0,0.0,0.0,8.0,107.0,4313.400000000002,13.0,45.0,1.0,0.0,0.0,17.0,36.0,10.0,10.0,12.0,66.0,62.0,37.0,15.0,27,2017-18,88.0,47.2
21006,L. Tonelli,DF,1990-01-17,Serie A,350.0,4.0,210.0,202.0,0.0,0.0,0.0,1.0,37.0,1782.9000000000008,0.0,7.0,3.0,2.0,1.0,3.0,5.0,0.0,11.0,8.0,24.0,20.0,4.0,16.0,27,2017-18,96.2,60.0
16922,O. Kragl,MF,1990-05-12,Serie A,95.0,5.0,32.0,21.0,0.0,0.0,1.0,1.0,3.0,141.75000000000003,0.0,2.0,0.0,0.0,0.0,7.0,13.0,1.0,1.0,3.0,10.0,4.0,2.0,5.0,27,2017-18,65.6,53.8
21019,M. Valdifiori,MF,1986-04-21,Serie A,614.0,13.0,353.0,300.0,1.0,0.0,0.0,10.0,61.0,2568.299999999999,8.0,51.0,2.0,0.0,0.0,10.0,18.0,0.0,2.0,10.0,40.0,26.0,6.0,4.0,31,2017-18,85.0,55.6
21025,R. Saponara,MF,1991-12-21,Serie A,902.0,18.0,409.0,338.0,4.0,4.0,6.0,38.0,70.0,2679.6000000000004,17.0,39.0,22.0,8.0,0.0,65.0,117.0,9.0,54.0,14.0,48.0,15.0,2.0,6.0,26,2017-18,82.6,55.6
127524,N. Maksimović,DF,1991-11-25,Serie A,95.0,2.0,57.0,56.0,0.0,0.0,0.0,0.0,9.0,446.2500000000001,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,9.0,6.0,0.0,2.0,26,2017-18,98.2,33.3
299557,Á. Nagy,MF,1995-06-17,Serie A,712.0,12.0,222.0,186.0,2.0,0.0,3.0,5.0,18.0,867.2999999999998,5.0,2.0,1.0,1.0,1.0,19.0,35.0,6.0,8.0,7.0,47.0,28.0,1.0,8.0,22,2017-18,83.8,54.3
